# field | from | to | verdict | detail

parent                                       absent     x          BASE_ERROR  No stub found for pattern: POST /api/2.0/postgres/roles (501 <nil>)
parent                                       absent     y          BASE_ERROR  No stub found for pattern: POST /api/2.0/postgres/roles (501 <nil>)
parent                                       x          absent     BASE_ERROR  No stub found for pattern: POST /api/2.0/postgres/x/roles (501 <nil>)
parent                                       x          y          BASE_ERROR  No stub found for pattern: POST /api/2.0/postgres/x/roles (501 <nil>)
parent                                       y          absent     BASE_ERROR  No stub found for pattern: POST /api/2.0/postgres/y/roles (501 <nil>)
parent                                       y          x          BASE_ERROR  No stub found for pattern: POST /api/2.0/postgres/y/roles (501 <nil>)
role_id                                      x-UNIQUE   absent     POST_DEPLOY_DRIFT  role_id
role_id                                      y-UNIQUE   absent     POST_DEPLOY_DRIFT  role_id

=== summary
OK                         10
OK_RECREATE                34
OK_INERT                   6
SUPPRESSED                 1
NOT_OBSERVABLE             1
POST_DEPLOY_DRIFT          2
SKIPPED                    1
BASE_ERROR                 6
