# field | from | to | verdict | detail

name                                         absent     x-UNIQUE   BASE_ERROR  Endpoint name must be maximum 63 characters, and alphanumeric with hyphens and underscores allowed in between. (400 INVALID_PARAMETER_VALUE)
name                                         absent     y-UNIQUE   BASE_ERROR  Endpoint name must be maximum 63 characters, and alphanumeric with hyphens and underscores allowed in between. (400 INVALID_PARAMETER_VALUE)
name                                         x-UNIQUE   absent     BACKEND_ERROR  Endpoint name must be maximum 63 characters, and alphanumeric with hyphens and underscores allowed in between. (400 INVALID_PARAMETER_VALUE)
name                                         y-UNIQUE   absent     BACKEND_ERROR  Endpoint name must be maximum 63 characters, and alphanumeric with hyphens and underscores allowed in between. (400 INVALID_PARAMETER_VALUE)
tags[0].key                                  absent     x          BASE_ERROR  failed to update tags: Endpoint tag keys must be defined. (400 INVALID_PARAMETER_VALUE)
tags[0].key                                  absent     y          BASE_ERROR  failed to update tags: Endpoint tag keys must be defined. (400 INVALID_PARAMETER_VALUE)
tags[0].key                                  x          absent     BACKEND_ERROR  failed to update tags: Endpoint tag keys must be defined. (400 INVALID_PARAMETER_VALUE)
tags[0].key                                  y          absent     BACKEND_ERROR  failed to update tags: Endpoint tag keys must be defined. (400 INVALID_PARAMETER_VALUE)

=== summary
OK                         24
OK_RECREATE                12
OK_INERT                   6
SUPPRESSED                 3
NOT_OBSERVABLE             1
BACKEND_ERROR              4
SKIPPED                    4
BASE_ERROR                 4
